Test,496,495,494,493,492
3pty_1,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
3pty_2,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
3pty_3,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
3pty_4,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
3pty_5,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
3pty_6,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
3pty_7,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
3pty_8,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
3pty_9,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
SMS_1,FAILED,FAILED,FAILED,,FAILED
SMS_2,FAILED,FAILED,FAILED,,FAILED
SMS_3,FAILED,FAILED,FAILED,,FAILED
SMS_4,FAILED,FAILED,FAILED,,FAILED
SMS_5,FAILED,FAILED,FAILED,,FAILED
SMS_6,FAILED,FAILED,FAILED,,FAILED
calldir_1,PASSED,PASSED,PASSED,,PASSED
calldir_10,PASSED,PASSED,PASSED,,PASSED
calldir_11,PASSED,PASSED,PASSED,,PASSED
calldir_12,PASSED,PASSED,PASSED,,PASSED
calldir_13,PASSED,PASSED,PASSED,,PASSED
calldir_14,PASSED,PASSED,PASSED,,PASSED
calldir_15,PASSED,PASSED,PASSED,,PASSED
calldir_16,PASSED,PASSED,PASSED,,PASSED
calldir_17,PASSED,PASSED,PASSED,,PASSED
calldir_18,PASSED,PASSED,PASSED,,PASSED
calldir_19,PASSED,PASSED,PASSED,,PASSED
calldir_2,PASSED,PASSED,PASSED,,PASSED
calldir_20,PASSED,PASSED,PASSED,,PASSED
calldir_21,PASSED,PASSED,PASSED,,PASSED
calldir_22,PASSED,PASSED,PASSED,,PASSED
calldir_23,PASSED,PASSED,PASSED,,PASSED
calldir_24,PASSED,PASSED,PASSED,,PASSED
calldir_3,PASSED,PASSED,PASSED,,PASSED
calldir_4,PASSED,PASSED,PASSED,,PASSED
calldir_5,PASSED,PASSED,PASSED,,PASSED
calldir_6,PASSED,PASSED,PASSED,,PASSED
calldir_7,PASSED,PASSED,PASSED,,PASSED
calldir_8,PASSED,PASSED,PASSED,,PASSED
calldir_9,PASSED,PASSED,PASSED,,PASSED
cfb_1,SKIPPEDSKIPPED,SKIPPEDSKIPPED,SKIPPEDSKIPPED,,SKIPPEDSKIPPED
cfb_10,PASSED,PASSED,PASSED,,PASSED
cfb_11,PASSED,PASSED,PASSED,,PASSED
cfb_14,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
cfb_15,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
cfb_18,PASSED,PASSED,PASSED,,PASSED
cfb_19,PASSED,PASSED,PASSED,,PASSED
cfb_4,PASSED,PASSED,PASSED,,PASSED
cfb_5,PASSED,PASSED,PASSED,,PASSED
cfb_6,PASSED,PASSED,PASSED,,PASSED
cfb_9,PASSED,PASSED,PASSED,,PASSED
cfnrc_1,PASSED,PASSED,PASSED,,PASSED
cfnrc_4,PASSED,PASSED,PASSED,,PASSED
cfnrc_5,PASSED,PASSED,PASSED,,PASSED
cfnrc_6,PASSED,PASSED,PASSED,,PASSED
cfnry_1,PASSED,PASSED,PASSED,,PASSED
cfnry_10,PASSED,PASSED,PASSED,,PASSED
cfnry_11,PASSED,PASSED,PASSED,,PASSED
cfnry_14,PASSED,PASSED,PASSED,,PASSED
cfnry_15,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
cfnry_18,PASSED,PASSED,PASSED,,PASSED
cfnry_19,PASSED,PASSED,PASSED,,PASSED
cfnry_4,PASSED,PASSED,PASSED,,PASSED
cfnry_5,PASSED,PASSED,PASSED,,PASSED
cfnry_6,PASSED,PASSED,PASSED,,PASSED
cfnry_9,PASSED,PASSED,PASSED,,PASSED
cfu_10,PASSED,PASSED,PASSED,,PASSED
cfu_11,PASSED,PASSED,PASSED,,PASSED
cfu_14,PASSED,PASSED,PASSED,,PASSED
cfu_15,PASSED,PASSED,PASSED,,PASSED
cfu_18,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
cfu_19,FAILED,FAILED,PASSED,,FAILED
cfu_4,PASSED,PASSED,PASSED,,PASSED
cfu_5,PASSED,PASSED,PASSED,,PASSED
cfu_6,PASSED,PASSED,PASSED,,PASSED
cfu_9,PASSED,PASSED,PASSED,,PASSED
hold_1,PASSED,PASSED,PASSED,,PASSED
hold_10,PASSED,PASSED,PASSED,,PASSED
hold_11,PASSED,PASSED,PASSED,,PASSED
hold_12,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
hold_13,PASSED,PASSED,PASSED,,PASSED
hold_14,SKIPPED,SKIPPED,SKIPPED,,SKIPPED
hold_2,PASSED,PASSED,PASSED,,PASSED
hold_3,PASSED,PASSED,PASSED,,PASSED
hold_4,PASSED,PASSED,PASSED,,PASSED
hold_5,PASSED,PASSED,PASSED,,PASSED
hold_6,FAILED,PASSED,PASSED,,PASSED
hold_7,PASSED,PASSED,PASSED,,PASSED
hold_8,FAILED,PASSED,PASSED,,PASSED
hold_9,PASSED,PASSED,PASSED,,PASSED
wait_12,PASSED,PASSED,PASSED,,PASSED
wait_13,PASSED,PASSED,PASSED,,PASSED
wait_3,FAILED,FAILED,FAILED,,PASSED
wait_4,PASSED,PASSED,PASSED,,PASSED
wait_5,PASSED,PASSED,PASSED,,PASSED
wait_8,PASSED,PASSED,PASSED,,PASSED
wait_9,PASSED,PASSED,PASSED,,PASSED
